Lowestoft / Lowestoft Monckton Ave from Sept 2007
Location 6543E 2946N 25m amsl to July 2007 & from Sept 2007 6530E 2938N 18m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1934   4   10.9     4.7       2    50.0    ---
   1934   5   15.2     6.9       0    31.1   204.4
   1934   6   17.8    10.7       0    39.5   214.3
   1934   7   21.0    12.8       0    44.2   280.6
   1934   8   20.8    12.2       0    43.1   215.7
   1934   9   19.5    11.3       0    42.8   202.6
   1934  10   14.8     7.7       1    37.9   107.4
   1934  11    9.8     3.9       4    36.9    56.6
   1934  12   10.3     6.5       0    76.5    ---
   1935   1    6.7     2.7       5    63.7    54.9
   1935   2    8.6     3.0       2    42.9    57.6
   1935   3    9.8     2.8       6    17.4    ---
   1935   4   11.2     4.8       2    53.4   138.7
   1935   5   12.9     6.4       1    33.6   265.7
   1935   6   18.8    11.2       0    51.0   230.6
   1935   7   21.9    12.7       0    22.1   313.8
   1935   8   21.9    12.6       0    61.5   235.3
   1935   9   18.7    10.8       0    91.3   182.6
   1935  10   14.0     6.8       1    58.3   132.8
   1935  11   10.5     5.7       2    78.1    ---
   1935  12    5.1     0.8      14    47.7    54.9
   1936   1    7.1     1.6       8    67.5    ---
   1936   2    5.5     0.7      10    68.7    ---
   1936   3    8.8     3.7       2    10.5    92.8
   1936   4   10.0     3.3       4    30.4   170.3
   1936   5   13.4     7.6       0    18.8   163.6
   1936   6   18.2    10.7       0    60.6   240.3
   1936   7   19.9    12.2       0    86.9   176.9
   1936   8   20.7    12.3       0    26.0   185.2
   1936   9   18.8    12.2       0    60.9   148.5
   1936  10   13.0     6.6       0    57.8    ---
   1936  11    9.6     3.8       1    68.6    ---
   1936  12    7.8     2.1       5    37.0    ---
   1937   1    7.4     2.4       5   104.8    60.1
   1937   2    8.2     2.6       3    67.7    76.9
   1937   3    6.9     1.1       7    51.0    ---
   1937   4   10.4     5.4       0    43.5    66.8
   1937   5   15.3     8.4       0    59.8   184.8
   1937   6   19.0     9.8       0    16.7   206.9
   1937   7   20.1    12.8       0    42.4   138.3
   1937   8   20.5    13.4       0    11.2   191.1
   1937   9   19.1    11.0       0    55.1   156.4
   1937  10   15.1     9.0       0    44.4    88.0
   1937  11    9.4     3.8       4    37.2    48.9
   1937  12    6.1     1.1      10   101.7    32.9
   1938   1    8.0     2.4       2    48.5    50.3
   1938   2    7.1     2.5       0    19.4    87.5
   1938   3   14.0     4.5       0    14.1   179.7
   1938   4   11.6     3.7       3    20.9   170.2
   1938   5   13.9     7.2       0    49.2   180.7
   1938   6   19.4    10.8       0    22.8   222.0
   1938   7   19.7    11.8       0    40.0   187.1
   1938   8   20.9    13.3       0    13.4   193.7
   1938   9   18.5    11.7       0    66.1   140.7
   1938  10   14.2     6.9       1    65.7   134.4
   1938  11   12.1     6.4       0    62.9    66.2
   1938  12    6.0     1.7      10    53.4    ---
