Ballypatrick Forest
Location 3176E 4386N (Irish Grid) 156m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1977   6   13.8     5.6       0    ---    202.7
   1977   7   18.0     9.4       0    ---    170.5
   1977   8   16.9     8.7       0    ---    210.4
   1977   9   14.3     7.8       0    ---    111.1
   1977  10   13.4     8.3       0    ---     81.4
   1977  11    8.0     2.0       8    ---     78.1
   1977  12    7.8     3.2       2    ---     28.0
   1978   1    5.5     0.5      12    ---     52.6
   1978   2    5.2     0.5      12    ---     86.9
   1978   3    8.3     2.2       6    ---     96.3
   1978   4    8.4     2.4       6    ---    123.7
   1978   5   14.6     5.3       0    ---    195.8
   1978   6   14.2     8.1       0    ---    135.1
   1978   7   15.6     8.9       0    ---    132.4
   1978   8   14.9    10.1       0    ---     92.0
   1978   9   14.7     9.6       0    ---     93.1
   1978  10   13.3     8.3       0    ---    101.7
   1978  11   10.1     4.2       4    ---     53.1
   1978  12    6.1     1.6       7    ---     38.5
   1979   1    3.5    -1.8      22    ---     43.3
   1979   2    4.4    -0.4      13    ---     88.2
   1979   3    5.7     0.2      11    ---     89.4
   1979   4    8.7     2.5       5    ---    135.5
   1979   5   10.9     3.6       4    ---    196.6
   1979   6   15.3     7.8       0    ---    180.2
   1979   7   16.1    10.3       0    ---     83.1
   1979   8   15.3     9.2       0    ---    128.0
   1979   9   14.6     8.3       0    ---    117.9
   1979  10   12.4     8.0       0    ---     78.5
   1979  11    9.0     3.6       3    ---     60.0
   1979  12    6.9     2.4       6    ---     40.4
   1980   1    5.4     0.9       7    ---     53.3
   1980   2    7.1     2.2       6    ---     59.4
   1980   3    6.5     1.3       9    ---     82.3
   1980   4   10.5     4.2       3    ---    178.7
   1980   5   13.7     6.3       1    ---    232.4
   1980   6   14.2     8.5       0    ---    117.8
   1980   7   16.3     9.7       0    ---    148.9
   1980   8   ---     10.5       0    ---    115.6
   1980   9   15.3    10.2       0    ---    101.0
   1980  10   10.7     5.8       1    ---     83.3
   1980  11    8.5     4.5       2    ---     53.0
   1980  12    7.8     3.5       2    ---     19.5
   1981   1    7.6     2.5       6    ---     38.4
   1981   2    5.9     1.5       5    ---     57.2
   1981   3    9.0     3.0       3    ---    107.4
   1981   4   10.3     3.4       7    ---    209.9
   1981   5   12.9     6.2       1    ---    170.7
   1981   6   14.0     7.8       0    ---    143.8
   1981   7   15.4    10.1       0    ---     89.3
   1981   8   17.2     9.9       0    ---    159.8
   1981   9   15.3     8.9       0    ---    114.3
   1981  10    9.1     3.1       3    ---     83.0
   1981  11    9.5     3.8       0    ---     39.1
   1981  12    4.1    -0.9      15    ---     29.1
   1982   1    6.2     0.4      12    ---     43.2
   1982   2    7.3     1.6       8    ---     73.2
   1982   3    8.2     0.9      13    ---    146.3
   1982   4   10.8     3.7       3    ---    171.4
   1982   5   13.4     5.0       5    ---    210.9
   1982   6   15.8     8.4       0    ---    161.0
   1982   7   17.3     9.3       0    ---    208.6
   1982   8   16.1     9.4       0    ---    126.4
   1982   9   14.8     8.3       0    ---    104.5
   1982  10   11.9     5.8       0    ---     81.6
   1982  11    8.3     3.2       2    ---     40.8
   1982  12    6.5     0.7      11    ---     43.6
   1983   1    7.6     1.9       7    ---     35.2
   1983   2    4.8     0.0      11    ---     68.7
   1983   3    8.5     3.3       0    ---     47.6
   1983   4    8.1     1.2      11    ---    185.2
   1983   5   11.0     4.8       3    ---    163.7
   1983   6   14.8     8.2       0    ---    135.0
   1983   7   19.2    10.9       0    ---    191.0
   1983   8   18.2    11.1       0    ---    141.8
   1983   9   14.3     8.4       0    ---     78.7
   1983  10   11.9     5.8       2    ---     86.5
   1983  11    9.6     4.5       3    ---     46.8
   1983  12    8.5     3.2       3    ---     27.5
   1984   1    4.9    -0.6      20    ---     31.0
   1984   2    6.6     0.7      10    ---     49.5
   1984   3    6.3     1.3      10    ---     55.0
   1984   4   11.3     3.2       6    ---    194.6
   1984   5   12.2     2.9       8    ---    247.2
   1984   6   14.8     8.4       1    ---    121.7
   1984   7   16.7    10.2       0    ---    161.6
   1984   8   17.8    10.5       0    ---    160.2
   1984   9   14.2     8.5       0    ---    101.4
