Waddington
Location 4988E 3653N 68m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1953   7   19.8    11.0       0    39.3   199.9
   1953   8   21.2    11.0       0    48.5   212.8
   1953   9   18.2     9.3       0    30.0   158.8
   1953  10   13.1     5.1       3    46.9    76.5
   1953  11   10.6     4.5       2    32.9    52.8
   1953  12    8.2     4.0       2    26.9    30.9
   1954   1    5.0    -1.0      19    30.7    55.4
   1954   2    4.0    -2.2      16    57.9    50.1
   1954   3    8.5     1.3       7    42.3    91.5
   1954   4   11.7     2.5       5     7.8   147.6
   1954   5   15.8     6.5       0    69.6   144.6
   1954   6   16.7     9.4       0    68.9   149.8
   1954   7   17.9     9.8       0    60.1   125.1
   1954   8   18.1    10.5       0   100.8   108.6
   1954   9   16.5     8.3       0    52.2   172.5
   1954  10   14.8     8.3       1    82.1    87.9
   1954  11    9.4     2.9       3   110.3    61.9
   1954  12    8.5     3.0       7    68.5    50.1
   1955   1    4.3    -1.0      13    39.0    42.9
   1955   2    3.6    -3.5      21    65.0    82.6
   1955   3    6.8    -1.9      22    58.3   141.0
   1955   4   13.5     4.6       1    23.0   145.1
   1955   5   13.6     4.5       1    69.3   175.5
   1955   6   17.5     8.8       0    95.4   152.6
   1955   7   22.2    11.9       0    40.5   265.3
   1955   8   22.6    12.9       0     9.6   175.4
   1955   9   18.9     9.8       0    37.9   163.2
   1955  10   13.4     5.4       4    26.9   129.2
   1955  11    9.8     4.2       2    27.2    59.5
   1955  12    8.0     1.5       9    37.5    58.9
   1956   1    4.9    -0.1      12   118.6    58.4
   1956   2    2.1    -4.0      24    34.9    65.2
   1956   3    9.9     1.2       9    17.1   129.0
   1956   4   10.4     1.8       7    33.3   159.7
   1956   5   17.4     6.9       0    12.3   253.8
   1956   6   16.6     8.5       0    96.7   139.9
   1956   7   19.2    12.0       0    72.5   160.9
   1956   8   17.0     9.6       0   217.5   137.7
   1956   9   18.1     9.9       0    42.7   126.0
   1956  10   12.9     5.3       0    24.2   108.0
   1956  11    8.7     3.2       3    19.7    63.2
   1956  12    7.4     2.9      10    31.8    22.7
   1957   1    8.0     1.7       7    28.3    47.2
   1957   2    7.9     1.4       8    48.7    81.9
   1957   3   12.1     4.8       1    37.0    95.3
   1957   4   12.3     3.7       2     4.8   157.1
   1957   5   14.6     5.4       2    39.5   219.2
   1957   6   20.1     9.3       0    40.7   282.1
   1957   7   19.6    12.5       0    71.7   139.9
   1957   8   18.6    11.3       0    72.2   137.0
   1957   9   15.6     9.1       0   102.2   116.0
   1957  10   13.9     7.2       0    25.2    87.5
   1957  11    8.4     3.5       3    52.1    63.4
   1957  12    6.9     1.3      10    35.5    60.2
   1958   1    5.5    -0.2      14    49.6    61.5
   1958   2    7.5     0.8      14    91.9    74.5
   1958   3    6.5    -0.2      16    44.2   122.4
   1958   4   11.2     3.0       5    10.0   162.8
   1958   5   16.0     6.8       0    44.0   190.2
   1958   6   17.2     9.4       0   121.9   135.5
   1958   7   19.8    11.8       0   126.1   184.5
   1958   8   19.9    11.8       0    72.1   159.6
   1958   9   18.6    10.9       0    53.2   154.7
   1958  10   13.6     7.0       0    36.4   106.8
   1958  11    8.2     3.1       3    19.1    54.9
   1958  12    6.3     1.2      10    73.1    23.4
   1959   1    3.7    -1.9      23    58.2    76.5
   1959   2    7.1     1.2      10     8.1    64.6
   1959   3   10.4     3.4       0    48.8    96.0
   1959   4   13.5     5.4       0    39.5   179.1
   1959   5   17.0     6.9       0    18.6   237.4
   1959   6   20.4    10.3       0    13.4   254.4
   1959   7   22.9    12.3       0    30.0   249.8
   1959   8   22.9    12.7       0    16.6   216.6
   1959   9   20.3     9.9       0     2.2   177.0
   1959  10   17.2     7.7       0    49.0   162.0
   1959  11    9.1     3.0       7    41.3    51.9
   1959  12    8.0     2.8       2    72.2    33.8
   1960   1    6.0     0.8      11   115.6    30.8
   1960   2    6.3     0.3      15    45.2    74.3
   1960   3    8.2     2.6       4    33.2    56.5
   1960   4   13.0     4.5       0    22.2   155.6
   1960   5   17.2     8.0       0    19.4   219.1
   1960   6   21.5    10.3       0    16.1   282.5
   1960   7   19.1    11.3       0    90.9   142.4
   1960   8   19.1    10.9       0   128.4   147.8
   1960   9   16.6     9.5       0    59.4   119.7
   1960  10   13.0     7.0       0   115.8    59.8
   1960  11    9.7     3.7       0    72.1    59.4
   1960  12    5.9     1.4      11    82.3    38.9
   1961   1    5.1     0.3      14    79.7    34.1
   1961   2    9.3     3.6       0    29.1    56.7
   1961   3   12.8     3.7       1     5.9   142.6
   1961   4   13.2     5.7       0    63.5   105.1
   1961   5   14.4     6.2       0    18.8   207.7
   1961   6   19.7    10.3       0    15.6   211.5
   1961   7   18.6    11.0       0    59.4   141.8
   1961   8   19.5    11.2       0    77.2   182.2
